Country,capital_lat,capital_long,Population,GDPPerCapita,HappinessRank,HappinessScore,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,WikepediaPage
Hungary,47.5,19.083333,9787966,14278.8745,75,5.32399988,5.40303971,5.24496005,1.28601193,1.34313309,0.68776345,0.17586352,0.07840166,0.03663694,1.716459274,https://en.wikipedia.org/wiki/Hungary
Iceland,64.15,-21.95,343400,70056.87,3,7.50400019,7.62203047,7.3859699,1.48063302,1.61057401,0.83355212,0.62716264,0.47554022,0.15352656,2.322715282,https://en.wikipedia.org/wiki/Iceland
India,28.6,77.2,1338658835,1981.49905,122,4.31500006,4.37152202,4.2584781,0.79222125,0.7543726,0.45542762,0.469987,0.23153849,0.09222689,1.519117117,https://en.wikipedia.org/wiki/India
Indonesia,-6.166666667,106.816667,264645886,3836.91381,81,5.26200008,5.3528886,5.17111157,0.99553859,1.2744447,0.49234572,0.44332346,0.61170459,0.01531714,1.429476976,https://en.wikipedia.org/wiki/Indonesia
Iran,35.7,51.416667,80673951,5627.74927,108,4.69199991,4.79822471,4.58577512,1.15687311,0.71155125,0.63933319,0.24932261,0.38724291,0.04876107,1.498734951,https://en.wikipedia.org/wiki/Iran
Iraq,33.33333333,44.4,37552781,5143.66123,117,4.49700022,4.62259141,4.37140903,1.10271049,0.9786132,0.50118047,0.28855553,0.19963726,0.10721575,1.318907261,https://en.wikipedia.org/wiki/Iraq
Ireland,53.31666667,-6.233333,4807388,69649.8827,15,6.97700024,7.04335167,6.91064881,1.53570664,1.55823112,0.80978262,0.57311034,0.42785832,0.29838815,1.773869038,https://en.wikipedia.org/wiki/Ireland
Israel,31.76666667,35.233333,8713300,40543.5842,11,7.21299982,7.27985326,7.14614638,1.37538242,1.37628996,0.838404,0.4059886,0.33008265,0.0852421,2.801757336,https://en.wikipedia.org/wiki/Israel
Italy,41.9,12.483333,60536709,32155.2059,48,5.96400023,6.04273691,5.88526354,1.39506662,1.44492328,0.85314435,0.25645071,0.17278965,0.02802809,1.813312054,https://en.wikipedia.org/wiki/Italy
Jamaica,18,-76.8,2920853,5060.54492,76,5.31099987,5.58139873,5.04060101,0.92557931,1.36821806,0.64102238,0.47430724,0.23381834,0.05526778,1.612325668,https://en.wikipedia.org/wiki/Jamaica
Japan,35.68333333,139.75,126785797,38331.9794,51,5.92000008,5.99071944,5.84928071,1.41691518,1.43633783,0.91347587,0.50562555,0.12057277,0.16376074,1.363223553,https://en.wikipedia.org/wiki/Japan
Jordan,31.95,35.933333,9779173,4168.6416,74,5.33599997,5.44841002,5.22358991,0.99101239,1.23908889,0.60459006,0.41842115,0.17217046,0.11980327,1.791176558,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,51.16666667,71.416667,18037776,9030.31881,60,5.81899977,5.90364177,5.73435776,1.28455627,1.38436902,0.60604155,0.43745428,0.20196442,0.11928289,1.784892559,https://en.wikipedia.org/wiki/Kazakhstan
Kenya,-1.283333333,36.816667,50221473,1568.20154,112,4.55299997,4.65569159,4.45030836,0.56047946,1.06795073,0.30998835,0.45276377,0.44486031,0.06464132,1.651902199,https://en.wikipedia.org/wiki/Kenya
Kosovo,42.66666667,21.166667,1830700,3948.08815,78,5.27899981,5.364848,5.19315162,0.95148438,1.1378535,0.54145205,0.26028794,0.31993145,0.05747162,2.010540724,https://en.wikipedia.org/wiki/Kosovo
Kuwait,29.36666667,47.966667,4056097,29474.5414,39,6.10500002,6.19195699,6.01804305,1.63295245,1.25969875,0.63210571,0.49633759,0.2282898,0.21515955,1.640425205,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,42.86666667,74.6,6198200,1242.76964,98,5.00400019,5.0899199,4.91808047,0.59622008,1.39423859,0.5534578,0.45494339,0.42858037,0.03943918,1.536723137,https://en.wikipedia.org/wiki/Kyrgyzstan
Latvia,56.95,24.1,1942248,15684.5585,54,5.8499999,5.92026354,5.77973627,1.26074862,1.40471494,0.63856697,0.32570791,0.15307479,0.07384273,1.993655205,https://en.wikipedia.org/wiki/Latvia
Lebanon,33.86666667,35.5,6811873,7838.34339,88,5.2249999,5.31888229,5.13111752,1.07498753,1.12962425,0.73508108,0.28851599,0.26445076,0.03751383,1.695073843,https://en.wikipedia.org/wiki/Lebanon
Lesotho,-29.31666667,27.483333,2091412,1232.78692,139,3.80800009,4.04434398,3.5716562,0.52102125,1.19009519,0,0.3906613,0.15749727,0.11909464,1.42983532,https://en.wikipedia.org/wiki/Lesotho
Liberia,6.3,-10.8,4702228,698.701764,148,3.53299999,3.65375626,3.41224372,0.11904179,0.87211794,0.2299182,0.33288118,0.26654989,0.03894825,1.673285961,https://en.wikipedia.org/wiki/Liberia
Libya,32.88333333,13.166667,6580724,5792.06511,68,5.5250001,5.67695381,5.37304638,1.10180306,1.35756433,0.52016902,0.46573323,0.15207367,0.09261021,1.835011244,https://en.wikipedia.org/wiki/Libya
Lithuania,54.68333333,25.316667,2828403,16809.6483,52,5.90199995,5.98266964,5.82133026,1.31458235,1.47351611,0.62894994,0.23423178,0.01016466,0.01186564,2.228440523,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,49.6,6.116667,596336,104498.739,18,6.86299992,6.9236861,6.80231373,1.7419436,1.45758367,0.8450895,0.59662789,0.28318098,0.31883442,1.619512081,https://en.wikipedia.org/wiki/Luxembourg
Macedonia,42,21.433333,2074000,5442.61,92,5.17500019,5.27217264,5.07782774,1.06457794,1.20789301,0.64494818,0.32590598,0.25376096,0.06027779,1.617469311,https://en.wikipedia.org/wiki/Macedonia
Madagascar,-18.91666667,47.516667,25570540,448.400797,144,3.64400005,3.71431911,3.573681,0.30580869,0.91302037,0.37522331,0.18919677,0.20873253,0.06723198,1.584612608,https://en.wikipedia.org/wiki/Madagascar
Malawi,-13.96666667,33.783333,17670260,356.717573,136,3.97000003,4.07747882,3.86252124,0.23344204,0.51256883,0.31508958,0.46691465,0.28717047,0.07271165,2.081786156,https://en.wikipedia.org/wiki/Malawi
Malaysia,3.166666667,101.7,31105028,10117.569,42,6.08400011,6.17997964,5.98802058,1.29121542,1.28464603,0.61878443,0.40226498,0.41660893,0.06560071,2.004448891,https://en.wikipedia.org/wiki/Malaysia
Mali,12.65,-8,18512394,828.61322,127,4.19000006,4.26967071,4.1103294,0.47618049,1.2814734,0.16936567,0.30661374,0.1833542,0.10497025,1.668190956,https://en.wikipedia.org/wiki/Mali
Malta,35.88333333,14.5,467999,27241.0906,27,6.52699995,6.59839677,6.45560313,1.34327984,1.48841166,0.82194424,0.58876705,0.57473058,0.15306607,1.556862831,https://en.wikipedia.org/wiki/Malta
Mauritania,18.06666667,-15.966667,4282574,1161.78546,123,4.29199982,4.37716362,4.20683602,0.64845729,1.27203083,0.28534928,0.09609804,0.20187002,0.136957,1.651637316,https://en.wikipedia.org/wiki/Mauritania
Mauritius,-20.15,57.483333,1264613,10484.9084,64,5.62900019,5.72986219,5.52813818,1.18939555,1.20956099,0.63800746,0.49124733,0.36093375,0.04218156,1.697583914,https://en.wikipedia.org/wiki/Mauritius
Mexico,19.43333333,-99.133333,124777324,9281.10148,25,6.57800007,6.67114891,6.48485123,1.15318382,1.21086216,0.709979,0.41273001,0.12099043,0.13277411,2.837154865,https://en.wikipedia.org/wiki/Mexico
Moldova,47,28.85,3549196,2724.49309,56,5.83799982,5.90837084,5.7676288,0.72887063,1.25182557,0.5894652,0.24072905,0.20877913,0.01009129,2.807808399,https://en.wikipedia.org/wiki/Moldova
