Country,capital_lat,capital_long,Population,GDPPerCapita,HappinessRank,HappinessScore,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,WikepediaPage
Serbia,44.83333333,20.5,7020858,6284.19267,73,5.39499998,5.49156966,5.29843031,1.06931758,1.2581898,0.65078467,0.20871553,0.22012588,0.04090378,1.947084427,https://en.wikipedia.org/wiki/Serbia
Sierra_Leone,8.483333333,-13.233333,7488431,499.380708,106,4.70900011,4.85064333,4.56735689,0.36842093,0.98413604,0.00556475,0.31869769,0.2930409,0.07109518,2.668459892,https://en.wikipedia.org/wiki/Sierra_Leone
Singapore,1.283333333,103.85,5612253,60297.7938,26,6.57200003,6.63672307,6.50727698,1.69227767,1.35381436,0.94949239,0.54984057,0.34596598,0.46430779,1.216362,https://en.wikipedia.org/wiki/Singapore
Slovakia,48.15,17.116667,5439232,17579.2594,40,6.09800005,6.17734841,6.01865169,1.32539356,1.50505924,0.71273291,0.29581746,0.13654448,0.02421085,2.097776651,https://en.wikipedia.org/wiki/Slovakia
Slovenia,46.05,14.516667,2066388,23449.5745,62,5.7579999,5.84222516,5.67377463,1.34120595,1.45251882,0.79082823,0.57257581,0.24264909,0.04512898,1.313317299,https://en.wikipedia.org/wiki/Slovenia
Somalia,2.066666667,45.333333,14589119,309.066059,93,5.15100002,5.24248371,5.05951634,0.02264318,0.72115135,0.11398914,0.60212696,0.29163131,0.28241032,3.11748457,https://en.wikipedia.org/wiki/Somalia
South_Africa,-25.7,28.216667,57000451,6127.4623,101,4.829,4.92943519,4.7285648,1.05469871,1.38478863,0.18708007,0.47924674,0.13936238,0.0725095,1.510908604,https://en.wikipedia.org/wiki/South_Africa
South_Korea,37.55,126.983333,51470000,29742,55,5.83799982,5.92255903,5.75344061,1.40167844,1.12827444,0.90021408,0.25792167,0.20667437,0.06328267,1.880378008,https://en.wikipedia.org/wiki/South_Korea
South_Sudan,4.85,31.616667,10910759,270,147,3.59100008,3.72553859,3.45646157,0.39724863,0.60132313,0.163486,0.14706244,0.28567082,0.11679351,1.879567385,https://en.wikipedia.org/wiki/South_Sudan
Spain,40.4,-3.683333,46593236,28208.2611,34,6.40299988,6.47105485,6.33494491,1.38439786,1.5320909,0.8889606,0.40878123,0.19013357,0.0709141,1.92775774,https://en.wikipedia.org/wiki/Spain
Sri_Lanka,6.916666667,79.833333,21444000,4104.63098,120,4.44000006,4.55344719,4.32655292,1.00985014,1.25997639,0.62513083,0.56121325,0.49086356,0.07365397,0.419389248,https://en.wikipedia.org/wiki/Sri_Lanka
Sudan,15.6,32.533333,40813396,3015.02443,130,4.13899994,4.34574717,3.93225271,0.65951669,1.21400857,0.29092082,0.01499586,0.18231745,0.08984752,1.68706584,https://en.wikipedia.org/wiki/Sudan
